clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,uram
io8_l2n1n2_l5n1n2_l7n1p1,10.0,7.977,1.25,56,5,1747,3424,0
io8_l2n1n2_l5n1n2_l7n1p1_d1d2,10.0,7.977,1.25,448,5,2970,13821,0
io8_l2n1n2_l5n1n2_l7n1p2,10.0,7.977,1.25,56,10,2513,3849,0
io8_l2n1n2_l5n1n2_l7n1p2_d1d2,10.0,7.977,1.25,448,10,3496,14292,0
io8_l2n1n2_l5n1n2_l7n1p4,10.0,9.066,1.25,56,20,3160,4802,0
io8_l2n1n2_l5n1n2_l7n1p4_d1d2,10.0,7.977,1.25,448,20,4545,15271,0
io8_l2n1n2_l5n1n2_l7n1p8,10.0,8.609,1.25,56,40,4572,5792,0
io8_l2n1n2_l5n1n2_l7n1p8_d1d2,10.0,7.977,1.25,448,40,6051,16845,0
io8_l2n1n2_l5n1n2_l7p1n1,10.0,7.966,1.25,80,80,12045,11039,0
io8_l2n1n2_l5n1n2_l7p1n1_d1d2,10.0,7.966,1.25,640,80,13121,31807,0
io8_l2n1n2_l5n1n2_l7p2n1,10.0,7.969,1.25,80,80,14028,12063,0
io8_l2n1n2_l5n1n2_l7p2n1_d1d2,10.0,7.966,1.25,640,160,30128,43277,0
io8_l2n1n2_l5n1n2_l7p4n1,10.0,8.555,1.25,80,80,15142,14501,0
io8_l2n1n2_l5n1n2_l7p4n1_d1d2,10.0,7.966,1.25,640,320,45711,56812,0
io8_l2n1n2_l5n1n2_l7p8n1,10.0,8.593,1.25,80,80,14278,17817,0
io8_l2n1n2_l5n1n2_l7p8n1_d1d2,10.0,7.966,1.25,640,640,88715,78562,0
io8_l2n1n4_l5n1n4_l7n1n1,10.0,7.977,1.25,72,14,2122,4451,0
io8_l2n1n4_l5n1n4_l7n1n1_d1d2,10.0,7.966,1.25,448,14,2627,23032,0
io8_l2n1n4_l5n1n4_l7n1n2,10.0,7.966,1.25,72,14,2357,4525,0
io8_l2n1n4_l5n1n4_l7n1n2_d1d2,10.0,7.966,1.25,448,14,3262,23593,0
io8_l2n1n4_l5n1n4_l7n1n4,10.0,9.047,1.25,72,14,2345,4793,0
io8_l2n1n4_l5n1n4_l7n1n4_d1d2,10.0,7.977,1.25,448,14,3516,24867,0
io8_l2n1n4_l5n1n4_l7n1n8,10.0,7.977,1.25,72,40,4536,6511,0
io8_l2n1n4_l5n1n4_l7n1n8_d1d2,10.0,7.966,1.25,448,40,5283,17316,0
io8_l2n1n4_l5n1n4_l7n1p1,10.0,7.977,1.25,72,14,2317,4591,0
io8_l2n1n4_l5n1n4_l7n1p1_d1d2,10.0,7.966,1.25,448,14,2884,14804,0
io8_l2n1n4_l5n1n4_l7n1p2,10.0,7.977,1.25,72,16,2923,4891,0
io8_l2n1n4_l5n1n4_l7n1p2_d1d2,10.0,7.966,1.25,448,16,3250,15150,0
io8_l2n1n4_l5n1n4_l7n1p4,10.0,8.423,1.25,72,20,3250,5630,0
io8_l2n1n4_l5n1n4_l7n1p4_d1d2,10.0,7.966,1.25,448,20,3979,15879,0
io8_l2n1n4_l5n1n4_l7n1p8,10.0,7.977,1.25,72,40,4662,6620,0
io8_l2n1n4_l5n1n4_l7n1p8_d1d2,10.0,7.966,1.25,448,40,5485,17453,0
io8_l2n1n4_l5n1n4_l7p1n1,10.0,7.966,1.25,96,80,12039,11817,0
io8_l2n1n4_l5n1n4_l7p1n1_d1d2,10.0,7.977,1.25,640,80,12587,32377,0
io8_l2n1n4_l5n1n4_l7p2n1,10.0,7.969,1.25,96,80,14022,12841,0
io8_l2n1n4_l5n1n4_l7p2n1_d1d2,10.0,7.977,1.25,640,160,29594,43838,0
io8_l2n1n4_l5n1n4_l7p4n1,10.0,8.555,1.25,96,80,15136,15279,0
io8_l2n1n4_l5n1n4_l7p4n1_d1d2,10.0,7.977,1.25,640,320,45177,57382,0
io8_l2n1n4_l5n1n4_l7p8n1,10.0,8.593,1.25,96,80,14272,18595,0
io8_l2n1n4_l5n1n4_l7p8n1_d1d2,10.0,7.977,1.25,640,640,88181,79133,0
io8_l2n1n8_l5n1n8_l7n1n1,10.0,8.48,1.25,72,14,2432,4764,0
io8_l2n1n8_l5n1n8_l7n1n1_d1d2,10.0,7.966,1.25,448,23,3717,25576,0
io8_l2n1n8_l5n1n8_l7n1n2,10.0,8.499,1.25,72,14,2667,4831,0
io8_l2n1n8_l5n1n8_l7n1n2_d1d2,10.0,7.966,1.25,448,23,4352,26134,0
io8_l2n1n8_l5n1n8_l7n1n4,10.0,9.634,1.25,72,14,2654,5102,0
io8_l2n1n8_l5n1n8_l7n1n4_d1d2,10.0,7.966,1.25,448,23,4785,27347,0
io8_l2n1n8_l5n1n8_l7n1n8,10.0,8.553,1.25,72,40,4846,6806,0
io8_l2n1n8_l5n1n8_l7n1n8_d1d2,10.0,7.966,1.25,448,40,5893,17637,0
io8_l2n1n8_l5n1n8_l7n1p1,10.0,8.48,1.25,72,14,2627,4904,0
io8_l2n1n8_l5n1n8_l7n1p1_d1d2,10.0,7.966,1.25,448,23,3974,15500,0
io8_l2n1n8_l5n1n8_l7n1p2,10.0,8.48,1.25,72,16,3233,5204,0
io8_l2n1n8_l5n1n8_l7n1p2_d1d2,10.0,7.966,1.25,448,25,4340,15846,0
io8_l2n1n8_l5n1n8_l7n1p4,10.0,9.01,1.25,72,20,3560,5925,0
io8_l2n1n8_l5n1n8_l7n1p4_d1d2,10.0,7.966,1.25,448,29,5069,16575,0
io8_l2n1n8_l5n1n8_l7n1p8,10.0,8.553,1.25,72,40,4972,6915,0
io8_l2n1n8_l5n1n8_l7n1p8_d1d2,10.0,7.966,1.25,448,40,6095,17774,0
io8_l2n1n8_l5n1n8_l7p1n1,10.0,8.537,1.25,96,80,12349,12111,0
io8_l2n1n8_l5n1n8_l7p1n1_d1d2,10.0,7.977,1.25,640,80,13165,32659,0
io8_l2n1n8_l5n1n8_l7p2n1,10.0,7.966,1.25,96,80,14332,13135,0
io8_l2n1n8_l5n1n8_l7p2n1_d1d2,10.0,7.977,1.25,640,160,30172,44113,0
io8_l2n1n8_l5n1n8_l7p4n1,10.0,8.518,1.25,96,80,15445,15561,0
io8_l2n1n8_l5n1n8_l7p4n1_d1d2,10.0,7.977,1.25,640,320,45755,57664,0
io8_l2n1n8_l5n1n8_l7p8n1,10.0,8.574,1.25,96,80,14582,18875,0
io8_l2n1n8_l5n1n8_l7p8n1_d1d2,10.0,7.977,1.25,640,640,88759,79419,0
io8_l2n1p1_l5n1p1_l7n1n1,10.0,7.966,1.25,56,5,1258,3513,0
io8_l2n1p1_l5n1p1_l7n1n1_d1d2,10.0,7.966,1.25,448,5,1857,17624,0
io8_l2n1p1_l5n1p1_l7n1n2,10.0,7.966,1.25,56,5,1492,3570,0
io8_l2n1p1_l5n1p1_l7n1n2_d1d2,10.0,7.966,1.25,448,5,2115,18213,0
io8_l2n1p1_l5n1p1_l7n1n4,10.0,9.085,1.25,56,5,1481,3847,0
io8_l2n1p1_l5n1p1_l7n1n4_d1d2,10.0,7.977,1.25,448,5,2738,19422,0
io8_l2n1p1_l5n1p1_l7n1n8,10.0,7.966,1.25,56,40,4153,5916,0
io8_l2n1p1_l5n1p1_l7n1n8_d1d2,10.0,7.966,1.25,448,40,5001,16971,0
io8_l2n1p1_l5n1p1_l7n1p1,10.0,7.966,1.25,56,5,1454,3657,0
io8_l2n1p1_l5n1p1_l7n1p1_d1d2,10.0,7.966,1.25,448,5,2123,14088,0
io8_l2n1p1_l5n1p1_l7n1p2,10.0,7.966,1.25,56,10,2220,4082,0
io8_l2n1p1_l5n1p1_l7n1p2_d1d2,10.0,7.966,1.25,448,10,2649,14559,0
io8_l2n1p1_l5n1p1_l7n1p4,10.0,8.423,1.25,56,20,2867,5035,0
io8_l2n1p1_l5n1p1_l7n1p4_d1d2,10.0,7.966,1.25,448,20,3698,15538,0
io8_l2n1p1_l5n1p1_l7n1p8,10.0,7.966,1.25,56,40,4279,6025,0
io8_l2n1p1_l5n1p1_l7n1p8_d1d2,10.0,7.966,1.25,448,40,5204,17112,0
io8_l2n1p1_l5n1p1_l7p1n1,10.0,7.977,1.25,80,80,11752,11254,0
io8_l2n1p1_l5n1p1_l7p1n1_d1d2,10.0,7.977,1.25,640,80,12306,31890,0
io8_l2n1p1_l5n1p1_l7p2n1,10.0,7.966,1.25,80,80,13735,12278,0
io8_l2n1p1_l5n1p1_l7p2n1_d1d2,10.0,7.977,1.25,640,160,29313,43360,0
io8_l2n1p1_l5n1p1_l7p4n1,10.0,8.499,1.25,80,80,14848,14704,0
io8_l2n1p1_l5n1p1_l7p4n1_d1d2,10.0,7.977,1.25,640,320,44896,56895,0
io8_l2n1p1_l5n1p1_l7p8n1,10.0,8.537,1.25,80,80,13984,18020,0
io8_l2n1p1_l5n1p1_l7p8n1_d1d2,10.0,7.977,1.25,640,640,87900,78643,0
io8_l2n1p2_l5n1p2_l7n1n1,10.0,7.977,1.25,72,5,1517,3737,0
io8_l2n1p2_l5n1p2_l7n1n1_d1d2,10.0,7.977,1.25,448,5,2150,22170,0
io8_l2n1p2_l5n1p2_l7n1n2,10.0,7.966,1.25,72,5,1750,3787,0
io8_l2n1p2_l5n1p2_l7n1n2_d1d2,10.0,7.966,1.25,448,5,2407,22752,0
io8_l2n1p2_l5n1p2_l7n1n4,10.0,8.423,1.25,72,5,1739,4059,0
io8_l2n1p2_l5n1p2_l7n1n4_d1d2,10.0,7.966,1.25,448,5,3030,23956,0
io8_l2n1p2_l5n1p2_l7n1n8,10.0,8.609,1.25,72,40,4411,6136,0
io8_l2n1p2_l5n1p2_l7n1n8_d1d2,10.0,7.977,1.25,448,40,5294,17805,0
io8_l2n1p2_l5n1p2_l7n1p1,10.0,7.977,1.25,72,5,1712,3877,0
io8_l2n1p2_l5n1p2_l7n1p1_d1d2,10.0,7.977,1.25,448,5,2415,14918,0
io8_l2n1p2_l5n1p2_l7n1p2,10.0,7.977,1.25,72,10,2478,4302,0
io8_l2n1p2_l5n1p2_l7n1p2_d1d2,10.0,7.977,1.25,448,10,2941,15389,0
io8_l2n1p2_l5n1p2_l7n1p4,10.0,9.066,1.25,72,20,3125,5255,0
io8_l2n1p2_l5n1p2_l7n1p4_d1d2,10.0,7.977,1.25,448,20,3990,16368,0
io8_l2n1p2_l5n1p2_l7n1p8,10.0,8.609,1.25,72,40,4537,6245,0
io8_l2n1p2_l5n1p2_l7n1p8_d1d2,10.0,7.977,1.25,448,40,5496,17942,0
io8_l2n1p2_l5n1p2_l7p1n1,10.0,7.966,1.25,96,80,11978,11453,0
io8_l2n1p2_l5n1p2_l7p1n1_d1d2,10.0,7.966,1.25,640,80,12566,32697,0
io8_l2n1p2_l5n1p2_l7p2n1,10.0,7.969,1.25,96,80,13961,12477,0
io8_l2n1p2_l5n1p2_l7p2n1_d1d2,10.0,7.966,1.25,640,160,29573,44167,0
io8_l2n1p2_l5n1p2_l7p4n1,10.0,8.555,1.25,96,80,15074,14903,0
io8_l2n1p2_l5n1p2_l7p4n1_d1d2,10.0,7.966,1.25,640,320,45156,57702,0
io8_l2n1p2_l5n1p2_l7p8n1,10.0,8.593,1.25,96,80,14210,18219,0
io8_l2n1p2_l5n1p2_l7p8n1_d1d2,10.0,7.966,1.25,640,640,88160,79452,0
io8_l2n1p4_l5n1p4_l7n1n1,10.0,7.966,1.25,72,5,1795,4569,0
io8_l2n1p4_l5n1p4_l7n1n1_d1d2,10.0,7.966,1.25,448,5,2386,23638,0
io8_l2n1p4_l5n1p4_l7n1n2,10.0,7.969,1.25,72,5,2028,4619,0
io8_l2n1p4_l5n1p4_l7n1n2_d1d2,10.0,7.969,1.25,448,5,3021,24196,0
io8_l2n1p4_l5n1p4_l7n1n4,10.0,9.047,1.25,72,5,2017,4924,0
io8_l2n1p4_l5n1p4_l7n1n4_d1d2,10.0,7.966,1.25,448,5,3258,25425,0
io8_l2n1p4_l5n1p4_l7n1n8,10.0,7.966,1.25,72,40,4689,6968,0
io8_l2n1p4_l5n1p4_l7n1n8_d1d2,10.0,7.966,1.25,448,40,5522,18313,0
io8_l2n1p4_l5n1p4_l7n1p1,10.0,7.966,1.25,72,5,1990,4709,0
io8_l2n1p4_l5n1p4_l7n1p1_d1d2,10.0,7.966,1.25,448,5,2643,15426,0
io8_l2n1p4_l5n1p4_l7n1p2,10.0,7.966,1.25,72,10,2756,5134,0
io8_l2n1p4_l5n1p4_l7n1p2_d1d2,10.0,7.966,1.25,448,10,3169,15897,0
io8_l2n1p4_l5n1p4_l7n1p4,10.0,8.423,1.25,72,20,3403,6087,0
io8_l2n1p4_l5n1p4_l7n1p4_d1d2,10.0,7.966,1.25,448,20,4218,16876,0
io8_l2n1p4_l5n1p4_l7n1p8,10.0,7.966,1.25,72,40,4815,7077,0
io8_l2n1p4_l5n1p4_l7n1p8_d1d2,10.0,7.966,1.25,448,40,5724,18450,0
io8_l2n1p4_l5n1p4_l7p1n1,10.0,7.966,1.25,96,80,12192,12273,0
io8_l2n1p4_l5n1p4_l7p1n1_d1d2,10.0,7.966,1.25,640,80,12730,33193,0
io8_l2n1p4_l5n1p4_l7p2n1,10.0,8.518,1.25,96,80,14175,13297,0
io8_l2n1p4_l5n1p4_l7p2n1_d1d2,10.0,7.966,1.25,640,160,29737,44680,0
io8_l2n1p4_l5n1p4_l7p4n1,10.0,8.537,1.25,96,80,15288,15723,0
io8_l2n1p4_l5n1p4_l7p4n1_d1d2,10.0,7.966,1.25,640,320,45320,58198,0
io8_l2n1p4_l5n1p4_l7p8n1,10.0,8.574,1.25,96,80,14400,19055,0
io8_l2n1p4_l5n1p4_l7p8n1_d1d2,10.0,7.966,1.25,640,640,88324,79948,0
io8_l2n1p8_l5n1p8_l7n1n1,10.0,7.966,1.25,72,5,2355,5032,0
io8_l2n1p8_l5n1p8_l7n1n1_d1d2,10.0,7.966,1.25,448,5,3012,25725,0
io8_l2n1p8_l5n1p8_l7n1n2,10.0,8.499,1.25,72,5,2590,5091,0
io8_l2n1p8_l5n1p8_l7n1n2_d1d2,10.0,8.499,1.25,448,5,3647,26284,0
io8_l2n1p8_l5n1p8_l7n1n4,10.0,9.634,1.25,72,5,2577,5365,0
io8_l2n1p8_l5n1p8_l7n1n4_d1d2,10.0,8.537,1.25,448,5,4080,27506,0
io8_l2n1p8_l5n1p8_l7n1n8,10.0,8.553,1.25,72,40,5249,7431,0
io8_l2n1p8_l5n1p8_l7n1n8_d1d2,10.0,7.966,1.25,448,40,6148,18544,0
io8_l2n1p8_l5n1p8_l7n1p1,10.0,7.966,1.25,72,5,2550,5172,0
io8_l2n1p8_l5n1p8_l7n1p1_d1d2,10.0,7.966,1.25,448,5,3269,15657,0
io8_l2n1p8_l5n1p8_l7n1p2,10.0,7.966,1.25,72,10,3316,5597,0
io8_l2n1p8_l5n1p8_l7n1p2_d1d2,10.0,7.966,1.25,448,10,3795,16128,0
io8_l2n1p8_l5n1p8_l7n1p4,10.0,9.01,1.25,72,20,3963,6550,0
io8_l2n1p8_l5n1p8_l7n1p4_d1d2,10.0,7.966,1.25,448,20,4844,17107,0
io8_l2n1p8_l5n1p8_l7n1p8,10.0,8.553,1.25,72,40,5375,7540,0
io8_l2n1p8_l5n1p8_l7n1p8_d1d2,10.0,7.966,1.25,448,40,6350,18681,0
io8_l2n1p8_l5n1p8_l7p1n1,10.0,8.537,1.25,96,80,12752,12737,0
io8_l2n1p8_l5n1p8_l7p1n1_d1d2,10.0,8.537,1.25,640,80,13356,33426,0
io8_l2n1p8_l5n1p8_l7p2n1,10.0,7.966,1.25,96,80,14713,13761,0
io8_l2n1p8_l5n1p8_l7p2n1_d1d2,10.0,8.537,1.25,640,160,30363,44897,0
io8_l2n1p8_l5n1p8_l7p4n1,10.0,7.966,1.25,96,80,15826,16187,0
io8_l2n1p8_l5n1p8_l7p4n1_d1d2,10.0,8.537,1.25,640,320,45946,58431,0
io8_l2n1p8_l5n1p8_l7p8n1,10.0,7.977,1.25,96,80,14962,19511,0
io8_l2n1p8_l5n1p8_l7p8n1_d1d2,10.0,8.537,1.25,640,640,88950,80180,0
io8_l2p1n1_l5p1n1_l7n1n1,10.0,8.771,1.25,72,14,3073,12481,0
io8_l2p1n1_l5p1n1_l7n1n1_d1d2,10.0,8.032,1.25,448,23,4328,37248,0
io8_l2p1n1_l5p1n1_l7n1n2,10.0,8.771,1.25,72,14,3308,12486,0
io8_l2p1n1_l5p1n1_l7n1n2_d1d2,10.0,8.619,1.25,448,23,4963,37806,0
io8_l2p1n1_l5p1n1_l7n1n4,10.0,9.788,1.25,72,14,3295,12726,0
io8_l2p1n1_l5p1n1_l7n1n4_d1d2,10.0,8.656,1.25,448,23,5396,38971,0
io8_l2p1n1_l5p1n1_l7n1n8,10.0,8.771,1.25,72,40,5487,14527,0
io8_l2p1n1_l5p1n1_l7n1n8_d1d2,10.0,8.032,1.25,448,40,6504,29343,0
io8_l2p1n1_l5p1n1_l7n1p1,10.0,8.771,1.25,72,14,3268,12630,0
io8_l2p1n1_l5p1n1_l7n1p1_d1d2,10.0,8.032,1.25,448,23,4585,27244,0
io8_l2p1n1_l5p1n1_l7n1p2,10.0,8.771,1.25,72,16,3874,12928,0
io8_l2p1n1_l5p1n1_l7n1p2_d1d2,10.0,8.032,1.25,448,25,4951,27588,0
io8_l2p1n1_l5p1n1_l7n1p4,10.0,9.164,1.25,72,20,4201,13667,0
io8_l2p1n1_l5p1n1_l7n1p4_d1d2,10.0,8.032,1.25,448,29,5680,28313,0
io8_l2p1n1_l5p1n1_l7n1p8,10.0,8.771,1.25,72,40,5613,14657,0
io8_l2p1n1_l5p1n1_l7n1p8_d1d2,10.0,8.032,1.25,448,40,6706,29512,0
io8_l2p1n1_l5p1n1_l7p1n1,10.0,8.827,1.25,96,80,12990,19824,0
io8_l2p1n1_l5p1n1_l7p1n1_d1d2,10.0,8.656,1.25,640,80,13776,44178,0
io8_l2p1n1_l5p1n1_l7p2n1,10.0,8.203,1.25,96,80,14973,20832,0
io8_l2p1n1_l5p1n1_l7p2n1_d1d2,10.0,8.656,1.25,640,160,30783,55649,0
io8_l2p1n1_l5p1n1_l7p4n1,10.0,8.537,1.25,96,80,16086,23219,0
io8_l2p1n1_l5p1n1_l7p4n1_d1d2,10.0,8.656,1.25,640,320,46366,69183,0
io8_l2p1n1_l5p1n1_l7p8n1,10.0,8.885,1.25,96,80,15222,26601,0
io8_l2p1n1_l5p1n1_l7p8n1_d1d2,10.0,8.656,1.25,640,640,89370,90944,0
io8_l2p2n1_l5p2n1_l7n1n1,10.0,9.002,1.25,72,104,26909,24003,0
io8_l2p2n1_l5p2n1_l7n1n1_d1d2,10.0,10.191,1.25,576,8,54379,71621,0
io8_l2p2n1_l5p2n1_l7n1n2,10.0,9.02,1.25,72,95,26632,23669,0
io8_l2p2n1_l5p2n1_l7n1n2_d1d2,10.0,9.547,1.25,576,8,54214,72132,0
io8_l2p2n1_l5p2n1_l7n1n4,10.0,10.099,1.25,72,95,26619,23872,0
io8_l2p2n1_l5p2n1_l7n1n4_d1d2,10.0,10.172,1.25,576,8,54681,73312,0
io8_l2p2n1_l5p2n1_l7n1n8,10.0,9.018,1.25,72,91,27403,24482,0
io8_l2p2n1_l5p2n1_l7n1n8_d1d2,10.0,9.624,1.25,576,40,57291,41633,0
io8_l2p2n1_l5p2n1_l7n1p1,10.0,9.002,1.25,72,77,25728,23023,0
io8_l2p2n1_l5p2n1_l7n1p1_d1d2,10.0,9.566,1.25,576,8,54220,38876,0
io8_l2p2n1_l5p2n1_l7n1p2,10.0,9.002,1.25,72,88,26878,23774,0
io8_l2p2n1_l5p2n1_l7n1p2_d1d2,10.0,10.19,1.25,576,10,54458,39233,0
io8_l2p2n1_l5p2n1_l7n1p4,10.0,9.475,1.25,72,80,26597,23923,0
io8_l2p2n1_l5p2n1_l7n1p4_d1d2,10.0,10.171,1.25,576,20,55443,40188,0
io8_l2p2n1_l5p2n1_l7n1p8,10.0,9.018,1.25,72,130,29449,26205,0
io8_l2p2n1_l5p2n1_l7n1p8_d1d2,10.0,9.624,1.25,576,40,57685,41802,0
io8_l2p2n1_l5p2n1_l7p1n1,10.0,8.378,1.25,96,104,32250,28597,0
io8_l2p2n1_l5p2n1_l7p1n1_d1d2,10.0,10.17,1.25,768,80,63795,56617,0
io8_l2p2n1_l5p2n1_l7p2n1,10.0,9.002,1.25,96,113,34841,29956,0
io8_l2p2n1_l5p2n1_l7p2n1_d1d2,10.0,9.685,1.25,768,160,81026,68110,0
io8_l2p2n1_l5p2n1_l7p4n1,10.0,9.022,1.25,96,98,35090,31710,0
io8_l2p2n1_l5p2n1_l7p4n1_d1d2,10.0,9.666,1.25,768,320,96865,81678,0
io8_l2p2n1_l5p2n1_l7p8n1,10.0,9.061,1.25,96,119,35442,35875,0
io8_l2p2n1_l5p2n1_l7p8n1_d1d2,10.0,9.749,1.25,768,640,139261,103338,0
io8_l2p4n1_l5p4n1_l7n1n1,10.0,9.676,1.25,60,11,13620,13922,0
io8_l2p4n1_l5p4n1_l7n1n1_d1d2,10.0,9.628,1.25,640,194,62859,122128,0
io8_l2p4n1_l5p4n1_l7n1n2,10.0,10.263,1.25,60,11,13959,13968,0
io8_l2p4n1_l5p4n1_l7n1n2_d1d2,10.0,9.628,1.25,640,194,63467,122684,0
io8_l2p4n1_l5p4n1_l7n1n4,10.0,10.301,1.25,60,11,13842,14192,0
io8_l2p4n1_l5p4n1_l7n1n4_d1d2,10.0,10.271,1.25,640,194,63994,123816,0
io8_l2p4n1_l5p4n1_l7n1n8,10.0,9.676,1.25,60,40,16198,16103,0
io8_l2p4n1_l5p4n1_l7n1n8_d1d2,10.0,9.628,1.25,640,208,64875,79348,0
io8_l2p4n1_l5p4n1_l7n1p1,10.0,9.676,1.25,60,11,13947,14094,0
io8_l2p4n1_l5p4n1_l7n1p1_d1d2,10.0,9.628,1.25,640,194,63153,77324,0
io8_l2p4n1_l5p4n1_l7n1p2,10.0,9.676,1.25,60,13,14521,14419,0
io8_l2p4n1_l5p4n1_l7n1p2_d1d2,10.0,9.628,1.25,640,196,63484,77665,0
io8_l2p4n1_l5p4n1_l7n1p4,10.0,9.676,1.25,60,20,14972,15250,0
io8_l2p4n1_l5p4n1_l7n1p4_d1d2,10.0,9.628,1.25,640,200,64211,78416,0
io8_l2p4n1_l5p4n1_l7n1p8,10.0,9.676,1.25,60,40,16448,16240,0
io8_l2p4n1_l5p4n1_l7n1p8_d1d2,10.0,9.628,1.25,640,208,65085,79277,0
io8_l2p4n1_l5p4n1_l7p1n1,10.0,10.301,1.25,84,80,23605,21418,0
io8_l2p4n1_l5p4n1_l7p1n1_d1d2,10.0,9.674,1.25,832,224,69271,93290,0
io8_l2p4n1_l5p4n1_l7p2n1,10.0,9.677,1.25,84,80,25592,22475,0
io8_l2p4n1_l5p4n1_l7p2n1_d1d2,10.0,9.674,1.25,832,256,83746,102875,0
io8_l2p4n1_l5p4n1_l7p4n1,10.0,9.678,1.25,84,80,26633,24865,0
io8_l2p4n1_l5p4n1_l7p4n1_d1d2,10.0,9.674,1.25,832,320,94210,112712,0
io8_l2p4n1_l5p4n1_l7p8n1,10.0,9.679,1.25,84,80,25773,28130,0
io8_l2p4n1_l5p4n1_l7p8n1_d1d2,10.0,10.296,1.25,832,640,137153,134506,0
io8_l2p8n1_l5p8n1_l7n1n1,10.0,7.984,1.25,88,86,65978,40990,0
io8_l2p8n1_l5p8n1_l7n1n1_d1d2,10.0,7.984,1.25,704,98,119775,144385,0
io8_l2p8n1_l5p8n1_l7n1n2,10.0,8.571,1.25,88,86,66213,41046,0
io8_l2p8n1_l5p8n1_l7n1n2_d1d2,10.0,8.571,1.25,704,98,120410,144941,0
io8_l2p8n1_l5p8n1_l7n1n4,10.0,9.725,1.25,88,86,66200,41318,0
io8_l2p8n1_l5p8n1_l7n1n4_d1d2,10.0,8.609,1.25,704,98,120843,146161,0
io8_l2p8n1_l5p8n1_l7n1n8,10.0,8.644,1.25,88,86,66163,41035,0
io8_l2p8n1_l5p8n1_l7n1n8_d1d2,10.0,7.992,1.25,704,98,121266,93264,0
io8_l2p8n1_l5p8n1_l7n1p1,10.0,7.984,1.25,88,86,66173,41130,0
io8_l2p8n1_l5p8n1_l7n1p1_d1d2,10.0,7.984,1.25,704,98,120032,92557,0
io8_l2p8n1_l5p8n1_l7n1p2,10.0,7.984,1.25,88,86,66552,41214,0
io8_l2p8n1_l5p8n1_l7n1p2_d1d2,10.0,7.984,1.25,704,98,120171,92704,0
io8_l2p8n1_l5p8n1_l7n1p4,10.0,9.101,1.25,88,86,66425,41501,0
io8_l2p8n1_l5p8n1_l7n1p4_d1d2,10.0,7.984,1.25,704,98,120446,93003,0
io8_l2p8n1_l5p8n1_l7n1p8,10.0,8.644,1.25,88,86,66289,41144,0
io8_l2p8n1_l5p8n1_l7n1p8_d1d2,10.0,7.984,1.25,704,98,120404,93217,0
io8_l2p8n1_l5p8n1_l7p1n1,10.0,8.609,1.25,112,86,68874,43008,0
io8_l2p8n1_l5p8n1_l7p1n1_d1d2,10.0,8.609,1.25,896,98,122874,104691,0
io8_l2p8n1_l5p8n1_l7p2n1,10.0,7.992,1.25,112,86,70857,44237,0
io8_l2p8n1_l5p8n1_l7p2n1_d1d2,10.0,8.609,1.25,896,160,138345,115268,0
io8_l2p8n1_l5p8n1_l7p4n1,10.0,8.0,1.25,112,86,71970,46695,0
io8_l2p8n1_l5p8n1_l7p4n1_d1d2,10.0,8.609,1.25,896,320,153928,128844,0
io8_l2p8n1_l5p8n1_l7p8n1,10.0,8.016,1.25,112,86,71106,49987,0
io8_l2p8n1_l5p8n1_l7p8n1_d1d2,10.0,8.609,1.25,896,640,196932,150635,0
